zip,smoking_RR,diabetes_RR
2222,0.836956522,0.872093023
2228,0.836956522,0.872093023
2238,0.815217391,0.76744186
2239,0.815217391,0.76744186
2241,0.836956522,0.872093023
2266,0.836956522,0.872093023
2269,0.641304348,0.837209302
2283,0.836956522,0.872093023
2284,0.836956522,0.872093023
2293,0.836956522,0.872093023
2295,0.836956522,0.872093023
2297,0.836956522,0.872093023
2298,0.836956522,0.872093023
2301,0.766304348,0.790697674
2302,0.766304348,0.790697674
2303,0.766304348,0.790697674
2304,0.766304348,0.790697674
2305,0.766304348,0.790697674
2322,0.641304348,0.837209302
2324,0.766304348,0.790697674
2325,0.766304348,0.790697674
2327,0.766304348,0.790697674
2330,0.766304348,0.790697674
2331,0.766304348,0.790697674
2332,0.766304348,0.790697674
2333,0.766304348,0.790697674
2334,1.10326087,1.186046512
2337,0.766304348,0.790697674
2338,0.766304348,0.790697674
2339,0.766304348,0.790697674
2340,0.766304348,0.790697674
2341,0.766304348,0.790697674
2343,0.641304348,0.837209302
2344,0.766304348,0.790697674
2345,0.766304348,0.790697674
2346,0.766304348,0.790697674
2347,0.766304348,0.790697674
2348,0.766304348,0.790697674
2349,0.766304348,0.790697674
2350,0.766304348,0.790697674
2351,0.766304348,0.790697674
2355,0.766304348,0.790697674
2356,1.10326087,1.186046512
2357,1.10326087,1.186046512
2358,0.766304348,0.790697674
2359,0.766304348,0.790697674
2360,0.766304348,0.790697674
2361,0.766304348,0.790697674
2362,0.766304348,0.790697674
2364,0.766304348,0.790697674
2366,0.766304348,0.790697674
2367,0.766304348,0.790697674
2368,0.641304348,0.837209302
2370,0.766304348,0.790697674
2375,1.10326087,1.186046512
2379,0.766304348,0.790697674
2381,0.766304348,0.790697674
2382,0.766304348,0.790697674
2420,0.815217391,0.76744186
2421,0.815217391,0.76744186
2445,0.641304348,0.837209302
2446,0.641304348,0.837209302
2447,0.641304348,0.837209302
2451,0.815217391,0.76744186
2452,0.815217391,0.76744186
2453,0.815217391,0.76744186
2454,0.815217391,0.76744186
2455,0.815217391,0.76744186
2456,0.815217391,0.76744186
2457,0.641304348,0.837209302
2458,0.815217391,0.76744186
2459,0.815217391,0.76744186
2460,0.815217391,0.76744186
2461,0.815217391,0.76744186
2462,0.815217391,0.76744186
2464,0.815217391,0.76744186
2465,0.815217391,0.76744186
2466,0.815217391,0.76744186
2467,0.641304348,0.837209302
2468,0.815217391,0.76744186
2471,0.815217391,0.76744186
2472,0.815217391,0.76744186
2474,0.815217391,0.76744186
2475,0.815217391,0.76744186
2476,0.815217391,0.76744186
2477,0.815217391,0.76744186
2478,0.815217391,0.76744186
2479,0.815217391,0.76744186
2481,0.641304348,0.837209302
2482,0.641304348,0.837209302
2492,0.641304348,0.837209302
2493,0.815217391,0.76744186
2494,0.641304348,0.837209302
2495,0.815217391,0.76744186
2532,0.77173913,0.860465116
2534,0.77173913,0.860465116
2535,0.657608696,0.709302326
2536,0.77173913,0.860465116
2537,0.77173913,0.860465116
2538,0.766304348,0.790697674
2539,0.657608696,0.709302326
2540,0.77173913,0.860465116
2541,0.77173913,0.860465116
2542,0.77173913,0.860465116
2543,0.77173913,0.860465116
2552,0.657608696,0.709302326
2553,0.77173913,0.860465116
2554,0.788043478,0.639534884
2556,0.77173913,0.860465116
2557,0.657608696,0.709302326
2558,0.766304348,0.790697674
2559,0.77173913,0.860465116
2561,0.77173913,0.860465116
2562,0.77173913,0.860465116
2563,0.77173913,0.860465116
2564,0.788043478,0.639534884
2565,0.77173913,0.860465116
2568,0.657608696,0.709302326
2571,0.766304348,0.790697674
2573,0.657608696,0.709302326
2574,0.77173913,0.860465116
2575,0.657608696,0.709302326
2576,0.766304348,0.790697674
2584,0.788043478,0.639534884
2601,0.77173913,0.860465116
2630,0.77173913,0.860465116
2631,0.77173913,0.860465116
2632,0.77173913,0.860465116
2633,0.77173913,0.860465116
2634,0.77173913,0.860465116
2635,0.77173913,0.860465116
2636,0.77173913,0.860465116
2637,0.77173913,0.860465116
2638,0.77173913,0.860465116
2639,0.77173913,0.860465116
2641,0.77173913,0.860465116
2642,0.77173913,0.860465116
2643,0.77173913,0.860465116
2644,0.77173913,0.860465116
2645,0.77173913,0.860465116
2646,0.77173913,0.860465116
2647,0.77173913,0.860465116
2648,0.77173913,0.860465116
2649,0.77173913,0.860465116
2650,0.77173913,0.860465116
2651,0.77173913,0.860465116
2652,0.77173913,0.860465116
2653,0.77173913,0.860465116
2655,0.77173913,0.860465116
2657,0.77173913,0.860465116
2659,0.77173913,0.860465116
2660,0.77173913,0.860465116
2661,0.77173913,0.860465116
2662,0.77173913,0.860465116
2663,0.77173913,0.860465116
2664,0.77173913,0.860465116
2666,0.77173913,0.860465116
2667,0.77173913,0.860465116
2668,0.77173913,0.860465116
2669,0.77173913,0.860465116
2670,0.77173913,0.860465116
2671,0.77173913,0.860465116
2672,0.77173913,0.860465116
2673,0.77173913,0.860465116
2675,0.77173913,0.860465116
2702,1.10326087,1.186046512
2703,1.10326087,1.186046512
2712,1.10326087,1.186046512
2713,0.657608696,0.709302326
2714,1.10326087,1.186046512
2715,1.10326087,1.186046512
2717,1.10326087,1.186046512
2718,1.10326087,1.186046512
2719,1.10326087,1.186046512
2720,1.10326087,1.186046512
2721,1.10326087,1.186046512
2722,1.10326087,1.186046512
2723,1.10326087,1.186046512
2724,1.10326087,1.186046512
2725,1.10326087,1.186046512
2726,1.10326087,1.186046512
2738,0.766304348,0.790697674
2739,0.766304348,0.790697674
2740,1.10326087,1.186046512
2741,1.10326087,1.186046512
2742,1.10326087,1.186046512
2743,1.10326087,1.186046512
2744,1.10326087,1.186046512
2745,1.10326087,1.186046512
2746,1.10326087,1.186046512
2747,1.10326087,1.186046512
2748,1.10326087,1.186046512
2760,1.10326087,1.186046512
2761,1.10326087,1.186046512
2762,0.641304348,0.837209302
2763,1.10326087,1.186046512
2764,1.10326087,1.186046512
2766,1.10326087,1.186046512
2767,1.10326087,1.186046512
2768,1.10326087,1.186046512
2769,1.10326087,1.186046512
2770,0.766304348,0.790697674
2771,1.10326087,1.186046512
2777,1.10326087,1.186046512
2779,1.10326087,1.186046512
2780,1.10326087,1.186046512
2783,1.10326087,1.186046512
2790,1.10326087,1.186046512
2791,1.10326087,1.186046512
2801,0.684782609,0.76744186
2802,0.929347826,0.976744186
2804,1.059782609,1.220930233
2806,1.10326087,1.186046512
2807,1.059782609,1.220930233
2808,1.059782609,1.220930233
2809,1.10326087,1.186046512
2812,1.059782609,1.220930233
2813,1.059782609,1.220930233
2814,0.929347826,0.976744186
2815,0.929347826,0.976744186
2816,1.152173913,1.279069767
2817,1.152173913,1.279069767
2818,1.152173913,1.279069767
2822,1.059782609,1.220930233
2823,0.929347826,0.976744186
2824,0.929347826,0.976744186
2825,0.929347826,0.976744186
2826,0.929347826,0.976744186
2827,1.152173913,1.279069767
2828,0.929347826,0.976744186
2829,0.929347826,0.976744186
2830,0.929347826,0.976744186
2831,0.929347826,0.976744186
2832,1.059782609,1.220930233
2833,1.059782609,1.220930233
2835,0.684782609,0.76744186
2836,1.059782609,1.220930233
2837,0.684782609,0.76744186
2838,0.929347826,0.976744186
2839,0.929347826,0.976744186
